,concept,label,standard_concept,2024-12-31,2023-12-31,2022-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_Revenues,Net revenues and financial income,Revenue,20777000000.0,15107000000.0,10780000000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
1,us-gaap_Revenues,Net service revenues and financial income,,18638000000.0,13617000000.0,9685000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ServiceMember,Net service revenues and financial income,srt:ProductOrServiceAxis: Net service revenues and financial income,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
2,us-gaap_Revenues,Net product revenues,,2139000000.0,1490000000.0,1095000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ProductMember,Net product revenues,srt:ProductOrServiceAxis: Net product revenues,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
3,us-gaap_Revenues,Argentinean Subsidiaries - Operating Segments,,3818000000.0,3550000000.0,2575000000.0,4,False,True,True,srt:ConsolidatedEntitiesAxis,meli_ArgentineanSubsidiariesMember,Argentinean Subsidiaries,"srt:ConsolidatedEntitiesAxis: Argentinean Subsidiaries, srt:ConsolidationItemsAxis: Operating Segments",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
4,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Brazil,,10033000000.0,6946000000.0,5283000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Brazil",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
5,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Mexico,,4183000000.0,2734000000.0,1638000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Mexico",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
6,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Argentina,,3614000000.0,3322000000.0,2299000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Argentina",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
7,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Other Countries,,808000000.0,615000000.0,465000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
8,us-gaap_Revenues,Operating Segments - Net service revenues and financial income,,18638000000.0,13617000000.0,9685000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
9,us-gaap_Revenues,Operating Segments - Net product revenues - Brazil,,1373000000.0,875000000.0,515000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Brazil",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
10,us-gaap_Revenues,Operating Segments - Net product revenues - Mexico,,481000000.0,337000000.0,255000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Mexico",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
11,us-gaap_Revenues,Operating Segments - Net product revenues - Argentina,,204000000.0,228000000.0,276000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Argentina",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
12,us-gaap_Revenues,Operating Segments - Net product revenues - Other Countries,,81000000.0,50000000.0,49000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
13,us-gaap_Revenues,Operating Segments - Net product revenues,,2139000000.0,1490000000.0,1095000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
14,us-gaap_Revenues,Operating Segments - Other Countries,,889000000.0,665000000.0,514000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
15,us-gaap_Revenues,Operating Segments - Services - Brazil - Commerce,,5695000000.0,3655000000.0,2585000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Brazil, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
16,us-gaap_Revenues,Operating Segments - Services - Mexico - Commerce,,2608000000.0,1653000000.0,1036000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Mexico, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
17,us-gaap_Revenues,Operating Segments - Services - Argentina - Commerce,,1207000000.0,1036000000.0,814000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Argentina, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
18,us-gaap_Revenues,Operating Segments - Services - Non-U.S. - Commerce,,566000000.0,410000000.0,329000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Non-U.S., us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
19,us-gaap_Revenues,Operating Segments - Services - Commerce,,10076000000.0,6754000000.0,4764000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
20,us-gaap_Revenues,Operating Segments - Product Sales - Brazil - Commerce,,1343000000.0,857000000.0,487000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Product Sales, us-gaap:StatementBusinessSegmentsAxis: Brazil, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
21,us-gaap_Revenues,Operating Segments - Product Sales - Mexico - Commerce,,464000000.0,326000000.0,246000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Product Sales, us-gaap:StatementBusinessSegmentsAxis: Mexico, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
