,concept,label,standard_concept,2022-12-31,2021-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
74,us-gaap_RetainedEarningsAccumulatedDeficit,Accumulated deficit,RetainedEarnings,-2971229000.0,-3327737000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
75,us-gaap_RetainedEarningsAccumulatedDeficit,Accounting Standards Update 2020-06,,,,6,False,True,True,us-gaap:AdjustmentsForNewAccountingPronouncementsAxis,us-gaap_AccountingStandardsUpdate202006Member,Accounting Standards Update 2020-06,us-gaap:AdjustmentsForNewAccountingPronouncementsAxis: Accounting Standards Update 2020-06,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
76,us-gaap_TreasuryStockValue,Cost of shares held in treasury,TreasuryShares,-6865000.0,-6865000.0,6,False,False,False,,,,,debit,-1.0,-1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
77,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated other comprehensive loss,AccumulatedOtherComprehensiveIncome,-90076000.0,-147964000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
78,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,"Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent",,41283000.0,-8558000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedGainLossNetCashFlowHedgeParentMember,"Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent","us-gaap:StatementEquityComponentsAxis: Accumulated Gain (Loss), Net, Cash Flow Hedge, Parent",credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
79,us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Foreign Currency Items,,-131359000.0,-139406000.0,6,False,True,True,us-gaap:StatementEquityComponentsAxis,us-gaap_AccumulatedTranslationAdjustmentMember,Foreign Currency Items,us-gaap:StatementEquityComponentsAxis: Foreign Currency Items,credit,1.0,1.0,us-gaap_StockholdersEquity,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
80,us-gaap_StockholdersEquity,Total Live Nation stockholders' equity,AllEquityBalance,-367569000.0,-582651000.0,6,False,False,False,,,,,credit,1.0,1.0,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
81,us-gaap_MinorityInterest,Noncontrolling interests,MinorityInterestBalance,461366000.0,394197000.0,6,False,False,False,,,,,,1.0,1.0,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterestAbstract
82,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Total equity,AllEquityBalanceIncludingMinorityInterest,93797000.0,-188454000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
83,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Common Stock,,2285000.0,2220000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_CommonStockMember,Common Stock,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Common Stock,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
84,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Additional Paid-in Capital,,2698316000.0,2897695000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AdditionalPaidInCapitalMember,Additional Paid-in Capital,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Additional Paid-in Capital,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
85,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Accumulated Deficit,,-2971229000.0,-3327737000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_RetainedEarningsMember,Accumulated Deficit,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Accumulated Deficit,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
86,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Treasury Stock,,-6865000.0,-6865000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_TreasuryStockMember,Treasury Stock,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Treasury Stock,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
87,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,AOCI Attributable to Parent,,-90076000.0,-147964000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AccumulatedOtherComprehensiveIncomeMember,AOCI Attributable to Parent,lyv:StatementEquityAndTemporaryEquityComponentsAxis: AOCI Attributable to Parent,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
88,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Noncontrolling Interest,,461366000.0,394197000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_NoncontrollingInterestMember,Noncontrolling Interest,lyv:StatementEquityAndTemporaryEquityComponentsAxis: Noncontrolling Interest,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
89,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Accumulated Deficit - Cumulative Effect, Period of Adoption, Adjustment",,,60522000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_RetainedEarningsMember,Accumulated Deficit,"lyv:StatementEquityAndTemporaryEquityComponentsAxis: Accumulated Deficit, srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
90,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Cumulative Effect, Period of Adoption, Adjustment",,,-35464000.0,5,False,True,True,srt:CumulativeEffectPeriodOfAdoptionAxis,srt_CumulativeEffectPeriodOfAdoptionAdjustmentMember,"Cumulative Effect, Period of Adoption, Adjustment","srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
91,us-gaap_StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,"Additional Paid-in Capital - Cumulative Effect, Period of Adoption, Adjustment",,,-95986000.0,5,False,True,True,lyv:StatementEquityAndTemporaryEquityComponentsAxis,us-gaap_AdditionalPaidInCapitalMember,Additional Paid-in Capital,"lyv:StatementEquityAndTemporaryEquityComponentsAxis: Additional Paid-in Capital, srt:CumulativeEffectPeriodOfAdoptionAxis: Cumulative Effect, Period of Adoption, Adjustment",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
92,us-gaap_LiabilitiesAndStockholdersEquity,Total liabilities and equity,LiabilitiesAndEquity,16460841000.0,14402318000.0,4,False,False,False,,,,,credit,1.0,1.0,,us-gaap_LiabilitiesAndStockholdersEquityAbstract
