,concept,label,standard_concept,2025-03-31,2024-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
53,us-gaap_DebtLongtermAndShorttermCombinedAmount,"Variable Interest Entity, Primary Beneficiary",,63755000.0,80878000.0,6,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
54,us-gaap_BeneficialInterest,Residual interests classified as debt,,579000.0,609000.0,5,False,False,False,,,,,,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
55,us-gaap_BeneficialInterest,"Variable Interest Entity, Primary Beneficiary",,579000.0,609000.0,6,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
56,us-gaap_BeneficialInterest,"Level 1 - Fair Value, Recurring - Residual interests classified as debt",,0.0,0.0,6,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel1Member,Level 1,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 1, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring, us-gaap:FinancialInstrumentAxis: Residual interests classified as debt",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
57,us-gaap_BeneficialInterest,"Level 2 - Fair Value, Recurring - Residual interests classified as debt",,0.0,0.0,6,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel2Member,Level 2,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 2, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring, us-gaap:FinancialInstrumentAxis: Residual interests classified as debt",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
58,us-gaap_BeneficialInterest,"Level 3 - Fair Value, Recurring - Residual interests classified as debt",,579000.0,609000.0,6,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel3Member,Level 3,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 3, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring, us-gaap:FinancialInstrumentAxis: Residual interests classified as debt",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
59,us-gaap_BeneficialInterest,"Total Loans - Fair Value, Recurring - Residual interests classified as debt",,579000.0,609000.0,6,False,True,True,us-gaap:FairValueByMeasurementBasisAxis,us-gaap_EstimateOfFairValueFairValueDisclosureMember,Total Loans,"us-gaap:FairValueByMeasurementBasisAxis: Total Loans, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring, us-gaap:FinancialInstrumentAxis: Residual interests classified as debt",,1.0,1.0,us-gaap_Liabilities,us-gaap_LiabilitiesAbstract
60,us-gaap_Liabilities,Total liabilities,Liabilities,31070772000.0,29725817000.0,5,False,False,False,,,,,credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAbstract
61,us-gaap_Liabilities,"Variable Interest Entity, Primary Beneficiary",,64355000.0,81604000.0,6,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",credit,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAbstract
62,us-gaap_CommitmentsAndContingencies,"Commitments, guarantees, concentrations and contingencies (Note 15)",,,,5,False,False,False,,,,,,1.0,1.0,us-gaap_LiabilitiesAndStockholdersEquity,us-gaap_LiabilitiesAndStockholdersEquityAbstract
