,concept,label,standard_concept,2025-09-30,2024-09-30,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
31,us-gaap_RevenuesNetOfInterestExpense,Reportable segments,,2763380000.0,1924760000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Reportable segments,srt:ConsolidationItemsAxis: Reportable segments,,1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
32,us-gaap_RevenuesNetOfInterestExpense,Expenses not allocated to segments,,-175077000.0,15974000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_CorporateNonSegmentMember,Expenses not allocated to segments,srt:ConsolidationItemsAxis: Expenses not allocated to segments,,1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
33,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Provision for credit losses,,24912000.0,24835000.0,2,False,False,False,,,,,,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
34,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Credit Card Loans - Credit card,,25256000.0,24727000.0,2,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CreditCardLoanPortfolioSegmentMember,Credit Card Loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Credit Card Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Credit card",,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
35,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Commercial and consumer banking,,-344000.0,108000.0,2,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_CommercialAndConsumerBankingPortfolioSegmentMember,Commercial and consumer banking,us-gaap:FinancingReceivablePortfolioSegmentAxis: Commercial and consumer banking,,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
36,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Reportable segments - Lending,,0.0,0.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Reportable segments,"srt:ConsolidationItemsAxis: Reportable segments, us-gaap:StatementBusinessSegmentsAxis: Lending",,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
37,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Reportable segments - Technology Platform,,0.0,0.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Reportable segments,"srt:ConsolidationItemsAxis: Reportable segments, us-gaap:StatementBusinessSegmentsAxis: Technology Platform",,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
38,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Reportable segments - Financial Services,,24869000.0,24807000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Reportable segments,"srt:ConsolidationItemsAxis: Reportable segments, us-gaap:StatementBusinessSegmentsAxis: Financial Services",,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
39,us-gaap_FinancingReceivableExcludingAccruedInterestCreditLossExpenseReversal,Reportable segments,,24869000.0,24807000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Reportable segments,srt:ConsolidationItemsAxis: Reportable segments,,-1.0,1.0,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap_IncomeStatementAbstract
40,us-gaap_NoninterestExpenseAbstract,Noninterest expense,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
