,concept,label,standard_concept,2025-12-31,2024-12-31,2023-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_InterestAndOtherIncomeAbstract,Interest income,,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
1,us-gaap_InterestAndFeeIncomeLoansAndLeases,Loans and securitizations,NetInterestIncome,3146296000.0,2601988000.0,1944128000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestIncomeOperating,us-gaap_InterestAndOtherIncomeAbstract
2,us-gaap_InterestIncomeOther,Other,InterestIncome,228903000.0,205829000.0,106939000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_InterestIncomeOperating,us-gaap_InterestAndOtherIncomeAbstract
3,us-gaap_InterestIncomeOperating,Total interest income,TotalInterestIncomeOperating,3375199000.0,2807817000.0,2051067000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestAndOtherIncomeAbstract
4,us-gaap_InterestIncomeOperating,Parent Company,,55646000.0,10058000.0,0.0,3,False,True,True,srt:ConsolidatedEntitiesAxis,srt_ParentCompanyMember,Parent Company,srt:ConsolidatedEntitiesAxis: Parent Company,,1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestAndOtherIncomeAbstract
5,us-gaap_InterestExpenseAbstract,Interest expense,,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
6,sofi_InterestExpenseSecuritizationsAndWarehouses,Securitizations and warehouses,,95824000.0,112398000.0,244220000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
7,us-gaap_InterestExpenseDeposits,Deposits,InterestExpenseDeposits,1014043000.0,930154000.0,507820000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
8,sofi_InterestExpenseCorporateBorrowings,Corporate borrowings,,45723000.0,48346000.0,36833000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
9,us-gaap_InterestExpenseOther,Other,InterestExpense,653000.0,438000.0,454000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
10,us-gaap_InterestExpenseOperating,Total interest expense,InterestExpense,1156243000.0,1091336000.0,789327000.0,3,False,False,False,,,,,,-1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestExpenseAbstract
11,us-gaap_InterestExpenseOperating,Parent Company,,46477000.0,48788000.0,28258000.0,3,False,True,True,srt:ConsolidatedEntitiesAxis,srt_ParentCompanyMember,Parent Company,srt:ConsolidatedEntitiesAxis: Parent Company,,-1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestExpenseAbstract
12,us-gaap_InterestIncomeExpenseNet,Net interest income,NetInterestIncome,2218956000.0,1716481000.0,1261740000.0,1,False,False,False,,,,,,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
13,us-gaap_InterestIncomeExpenseNet,Operating Segments - Lending,,1606032000.0,1207226000.0,960773000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Lending",,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
14,us-gaap_InterestIncomeExpenseNet,Operating Segments - Technology Platform,,1505000.0,2158000.0,1514000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Technology Platform",,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
15,us-gaap_InterestIncomeExpenseNet,Operating Segments - Financial Services,,777991000.0,573422000.0,334847000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Financial Services",,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
16,us-gaap_InterestIncomeExpenseNet,Operating Segments,,2385528000.0,1782806000.0,1297134000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,srt:ConsolidationItemsAxis: Operating Segments,,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
17,us-gaap_InterestIncomeExpenseNet,Corporate/Other,,-166572000.0,-66325000.0,-35394000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_CorporateNonSegmentMember,Corporate/Other,srt:ConsolidationItemsAxis: Corporate/Other,,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
18,us-gaap_InterestIncomeExpenseNet,Parent Company,,9169000.0,-38730000.0,-28258000.0,2,False,True,True,srt:ConsolidatedEntitiesAxis,srt_ParentCompanyMember,Parent Company,srt:ConsolidatedEntitiesAxis: Parent Company,,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_IncomeStatementAbstract
19,us-gaap_NoninterestIncomeAbstract,Noninterest income,,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
20,sofi_NoninterestIncomeLoanOriginationSalesSecuritizationsAndServicing,"Loan origination, sales, securitizations and servicing",,242947000.0,278114000.0,409140000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_NoninterestIncome,us-gaap_NoninterestIncomeAbstract
21,sofi_RevenueFromContractWithCustomerExcludingAssessedTaxTechnologyProductsAndSolutions,Technology products and solutions,,360903000.0,350810000.0,323972000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_NoninterestIncome,us-gaap_NoninterestIncomeAbstract
22,sofi_NoninterestIncomeLoanPlatformFees,Loan platform fees,,575911000.0,141608000.0,33602000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_NoninterestIncome,us-gaap_NoninterestIncomeAbstract
23,us-gaap_NoninterestIncomeOther,Other,NonoperatingIncomeExpense,214637000.0,187846000.0,94335000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_NoninterestIncome,us-gaap_NoninterestIncomeAbstract
24,us-gaap_NoninterestIncome,Total noninterest income,NonInterestIncome,1394398000.0,958378000.0,861049000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_NoninterestIncomeAbstract
25,us-gaap_NoninterestIncome,Operating Segments - Lending,,242917000.0,277996000.0,409848000.0,3,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Lending",,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_NoninterestIncomeAbstract
26,us-gaap_NoninterestIncome,Operating Segments - Technology Platform,,448706000.0,393020000.0,350826000.0,3,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Technology Platform",,1.0,1.0,us-gaap_RevenuesNetOfInterestExpense,us-gaap_NoninterestIncomeAbstract
